subject,timepoint,event,region,signal,inc_signal
s13,18,stim,parietal,-0.017551581538,-1.76
s5,14,stim,parietal,-0.0808829319505,-8.09
s12,18,stim,parietal,-0.0810330187333,-8.1
s11,18,stim,parietal,-0.04613439017519999,-4.61
s10,18,stim,parietal,-0.037970203264199996,-3.8
s9,18,stim,parietal,-0.10351309616,-10.35
s8,18,stim,parietal,-0.0644081947232,-6.44
s7,18,stim,parietal,-0.0605262017124,-6.05
s6,18,stim,parietal,-0.00702856091007,-0.7
s5,18,stim,parietal,-0.0405568546157,-4.06
s4,18,stim,parietal,-0.04881219994659999,-4.88
s3,18,stim,parietal,-0.0471481458275,-4.71
s2,18,stim,parietal,-0.08662295949179999,-8.66
s1,18,stim,parietal,-0.046659046163800004,-4.67
s0,18,stim,parietal,-0.0755699759477,-7.56
s13,17,stim,parietal,-0.00826462526111,-0.83
s12,17,stim,parietal,-0.08851175012250001,-8.85
s7,9,stim,parietal,0.058896545296999996,5.89
s10,17,stim,parietal,-0.016846516627,-1.68
s9,17,stim,parietal,-0.12157375579000004,-12.16
s8,17,stim,parietal,-0.0762871207962,-7.63
s7,17,stim,parietal,-0.043812021381900004,-4.38
s6,17,stim,parietal,-0.014746389298100003,-1.47
s5,17,stim,parietal,-0.0566820608044,-5.67
s4,17,stim,parietal,-0.044581900875900006,-4.46
s3,17,stim,parietal,-0.0535140677471,-5.35
s2,17,stim,parietal,-0.07729240018860001,-7.73
s1,17,stim,parietal,-0.0380205789406,-3.8
s0,17,stim,parietal,-0.07130038539780001,-7.13
s13,16,stim,parietal,-0.00285629387119,-0.29
s12,16,stim,parietal,-0.08994336333610001,-8.99
s11,16,stim,parietal,-0.04958703583380001,-4.96
s10,16,stim,parietal,-0.013566317631600001,-1.36
s9,16,stim,parietal,-0.131640690822,-13.16
s8,16,stim,parietal,-0.0930243109477,-9.3
s7,16,stim,parietal,-0.021897157826900004,-2.19
s8,9,stim,parietal,0.170226886344,17.02
s5,16,stim,parietal,-0.0641378420404,-6.41
s4,16,stim,parietal,-0.047433168385500005,-4.74
s3,16,stim,parietal,-0.0710224022162,-7.1
s2,16,stim,parietal,-0.06499816929169999,-6.5
s1,16,stim,parietal,-0.0613560305246,-6.14
s0,16,stim,parietal,-0.057715066878199994,-5.77
s13,15,stim,parietal,-0.0109714632203,-1.1
s12,15,stim,parietal,-0.08069796317139999,-8.07
s11,15,stim,parietal,-0.07211219404710001,-7.21
s10,15,stim,parietal,-0.028809304808099997,-2.88
s9,15,stim,parietal,-0.134828403383,-13.48
s8,15,stim,parietal,-0.112577596942,-11.26
s7,15,stim,parietal,-0.00938312919114,-0.94
s6,15,stim,parietal,-0.06872022524669999,-6.87
s5,15,stim,parietal,-0.0705615378511,-7.06
s4,15,stim,parietal,-0.0560310534918,-5.6
s3,15,stim,parietal,-0.09073518152820001,-9.07
s2,15,stim,parietal,-0.0554618569331,-5.55
s1,15,stim,parietal,-0.110742321796,-11.07
s0,15,stim,parietal,-0.053078664772300006,-5.31
s13,14,stim,parietal,-0.0337133890149,-3.37
s12,14,stim,parietal,-0.0682973367158,-6.83
s11,14,stim,parietal,-0.11446883040400001,-11.45
s10,14,stim,parietal,-0.0522877238724,-5.23
s9,14,stim,parietal,-0.1302665983,-13.03
s8,14,stim,parietal,-0.128447530062,-12.84
s7,14,stim,parietal,-0.0151398384821,-1.51
s6,14,stim,parietal,-0.09884463355350001,-9.88
s11,17,stim,parietal,-0.041960488856,-4.2
s4,14,stim,parietal,-0.0639904071723,-6.4
s0,0,stim,frontal,-0.0214524594615,-2.15
s3,14,stim,parietal,-0.110040787828,-11.0
s1,14,stim,parietal,-0.169311681158,-16.93
s0,14,stim,parietal,-0.052418751534199996,-5.24
s13,13,stim,parietal,-0.0686374735514,-6.86
s12,13,stim,parietal,-0.056306337975,-5.63
s11,13,stim,parietal,-0.157834186994,-15.78
s10,13,stim,parietal,-0.0738923487842,-7.39
s9,13,stim,parietal,-0.119383455482,-11.94
s8,13,stim,parietal,-0.1239496932,-12.39
s7,13,stim,parietal,-0.030026322192,-3.0
s6,13,stim,parietal,-0.133170667646,-13.32
s5,13,stim,parietal,-0.0949707046582,-9.5
s4,13,stim,parietal,-0.0747598671492,-7.48
s3,13,stim,parietal,-0.1165517168,-11.66
s2,13,stim,parietal,-0.052655737335700004,-5.27
s1,13,stim,parietal,-0.224351323052,-22.44
s1,0,stim,parietal,-0.064454004861,-6.45
s13,12,stim,parietal,-0.10098417524900001,-10.1
s12,12,stim,parietal,-0.052295304632900004,-5.23
s11,12,stim,parietal,-0.178509701862,-17.85
s10,12,stim,parietal,-0.08723241384569999,-8.72
s9,12,stim,parietal,-0.09778899569380001,-9.78
s8,12,stim,parietal,-0.0925108486782,-9.25
s7,12,stim,parietal,-0.0403852425182,-4.04
s6,12,stim,parietal,-0.150693428305,-15.07
s5,12,stim,parietal,-0.11049636909000002,-11.05
s4,12,stim,parietal,-0.0900360515443,-9.0
s3,12,stim,parietal,-0.09130095093839999,-9.13
s2,12,stim,parietal,-0.056376647172,-5.64
s1,12,stim,parietal,-0.25548585958000003,-25.55
s0,12,stim,parietal,-0.0529114831434,-5.29
s13,11,stim,parietal,-0.11257541213,-11.26
s12,11,stim,parietal,-0.05662844770740001,-5.66
s11,11,stim,parietal,-0.150709342539,-15.07
s10,11,stim,parietal,-0.0780802842964,-7.81
s9,11,stim,parietal,-0.072241225574,-7.22
s8,11,stim,parietal,-0.0280246228922,-2.8
s7,11,stim,parietal,-0.030991180776400007,-3.1
s6,11,stim,parietal,-0.134795422743,-13.48
s5,11,stim,parietal,-0.120694930753,-12.07
s4,11,stim,parietal,-0.12854654313,-12.85
s3,11,stim,parietal,-0.023273732815200003,-2.33
s2,11,stim,parietal,-0.0734168172716,-7.34
s1,11,stim,parietal,-0.238473764277,-23.85
s0,11,stim,parietal,-0.0514694724514,-5.15
s13,10,stim,parietal,-0.0745026100443,-7.45
s12,10,stim,parietal,-0.0669700192247,-6.7
s11,10,stim,parietal,-0.072780476678,-7.28
s10,10,stim,parietal,-0.0417023096317,-4.17
s9,10,stim,parietal,-0.0323796382167,-3.24
s8,10,stim,parietal,0.0651975099421,6.52
s7,10,stim,parietal,0.0016484911058300001,0.16
s6,10,stim,parietal,-0.0754333889525,-7.54
s5,10,stim,parietal,-0.114761917544,-11.48
s4,10,stim,parietal,-0.15265246158,-15.27
s3,10,stim,parietal,0.0892314787638,8.92
s2,10,stim,parietal,-0.0876876805188,-8.77
s1,10,stim,parietal,-0.13304099332699998,-13.3
s0,10,stim,parietal,-0.04791497301580002,-4.79
s13,9,stim,parietal,0.0132453345685,1.32
s12,9,stim,parietal,-0.0623350210256,-6.23
s11,9,stim,parietal,0.0454185313729,4.54
s10,9,stim,parietal,0.0310064467776,3.1
s9,9,stim,parietal,0.029052961628,2.91
s2,14,stim,parietal,-0.052874529950099995,-5.29
s6,9,stim,parietal,0.00901740401094,0.9
s7,3,stim,parietal,0.00954793068239,0.95
s0,7,stim,parietal,0.0743427528433,7.43
s3,9,stim,parietal,0.22171613873000004,22.17
s2,9,stim,parietal,-0.082613396203,-8.26
s1,9,stim,parietal,0.057891763880400016,5.79
s0,9,stim,parietal,-0.035586997112500005,-3.56
s13,8,stim,parietal,0.130991047051,13.1
s12,8,stim,parietal,-0.0275774798409,-2.76
s11,8,stim,parietal,0.169673297351,16.97
s10,8,stim,parietal,0.136290736966,13.63
s9,8,stim,parietal,0.121580532588,12.16
s8,8,stim,parietal,0.263207487992,26.32
s7,8,stim,parietal,0.13317559372999999,13.32
s6,8,stim,parietal,0.112147204561,11.21
s5,8,stim,parietal,0.006805135398060001,0.68
s4,8,stim,parietal,0.017534785968,1.75
s3,8,stim,parietal,0.337143297554,33.71
s6,2,stim,parietal,-0.0307806076045,-3.08
s1,8,stim,parietal,0.29463915741999996,29.46
s0,8,stim,parietal,0.00510065001767,0.51
s13,7,stim,parietal,0.24074707368599998,24.07
s12,7,stim,parietal,0.0501726783253,5.02
s11,7,stim,parietal,0.254042321237,25.4
s10,7,stim,parietal,0.245641759705,24.56
s9,7,stim,parietal,0.23823081561999998,23.82
s8,7,stim,parietal,0.312811033675,31.28
s7,7,stim,parietal,0.198789642958,19.88
s6,7,stim,parietal,0.214479570066,21.45
s5,7,stim,parietal,0.119176862322,11.92
s4,7,stim,parietal,0.22044852459199998,22.04
s3,7,stim,parietal,0.39046573376000004,39.05
s2,7,stim,parietal,0.0457436269453,4.57
s1,7,stim,parietal,0.494786865197,49.48
s4,9,stim,parietal,-0.11424198196699999,-11.42
s13,6,stim,parietal,0.291884318776,29.19
s12,5,stim,parietal,0.24813800944800002,24.81
s2,6,stim,frontal,0.10105043220599999,10.11
s1,6,stim,parietal,0.564984721448,56.5
s2,6,stim,parietal,0.143436119997,14.34
s3,6,stim,parietal,0.340479918138,34.05
s4,6,stim,parietal,0.40584005702799997,40.58
s5,6,stim,parietal,0.22149288327799999,22.15
s12,6,stim,parietal,0.157799926472,15.78
s7,6,stim,parietal,0.218061194469,21.81
s8,6,stim,parietal,0.298009042033,29.8
s9,6,stim,parietal,0.34591807436800004,34.59
s10,6,stim,parietal,0.296960232897,29.7
s11,6,stim,parietal,0.262771101488,26.28
s0,6,stim,parietal,0.143093371757,14.31
s6,6,stim,parietal,0.270955810073,27.1
s13,5,stim,parietal,0.25262726434099997,25.26
s6,5,stim,parietal,0.23917509783399998,23.92
s11,5,stim,parietal,0.194215001153,19.42
s10,5,stim,parietal,0.253871308297,25.39
s9,5,stim,parietal,0.381495102897,38.15
s8,5,stim,parietal,0.21285483643300002,21.29
s7,5,stim,parietal,0.177629510785,17.76
s5,5,stim,parietal,0.26005706923599997,26.01
s4,5,stim,parietal,0.460896318187,46.09
s3,5,stim,parietal,0.19918833824,19.92
s2,5,stim,parietal,0.209354958128,20.94
s1,5,stim,parietal,0.476055495497,47.61
s0,5,stim,parietal,0.17553169760600001,17.55
s13,4,stim,parietal,0.136219459793,13.62
s12,4,stim,parietal,0.261283304881,26.13
s2,8,stim,parietal,-0.0374066054162,-3.74
s11,4,stim,parietal,0.0871751702674,8.72
s7,2,stim,parietal,-0.0348741834216,-3.49
s4,2,stim,parietal,-0.0281087303981,-2.81
s8,4,stim,parietal,0.0931813640265,9.32
s7,4,stim,parietal,0.0933092582309,9.33
s6,4,stim,parietal,0.136847472437,13.68
s5,4,stim,parietal,0.208112190773,20.81
s4,4,stim,parietal,0.346774672362,34.68
s3,4,stim,parietal,0.0278785465127,2.79
s2,4,stim,parietal,0.196461030367,19.65
s1,4,stim,parietal,0.287293980823,28.73
s0,4,stim,parietal,0.15405788336100001,15.41
s13,3,stim,parietal,0.00841751428481,0.84
s12,3,stim,parietal,0.185581486022,18.56
s11,3,stim,parietal,-0.010137985855899999,-1.01
s10,3,stim,parietal,0.0458383526337,4.58
s9,3,stim,parietal,0.164445987706,16.44
s10,4,stim,parietal,0.143985648987,14.4
s8,3,stim,parietal,-0.00612280734889,-0.61
s6,3,stim,parietal,0.027562364835599998,2.76
s5,3,stim,parietal,0.0927117312126,9.27
s4,3,stim,parietal,0.141458050647,14.15
s3,3,stim,parietal,-0.08970777078,-8.97
s2,3,stim,parietal,0.10891557022199999,10.89
s1,3,stim,parietal,0.0922207832283,9.22
s0,3,stim,parietal,0.08639892293880001,8.64
s13,2,stim,parietal,-0.06291590684659999,-6.29
s12,2,stim,parietal,0.0772772101448,7.73
s11,2,stim,parietal,-0.0590890319945,-5.91
s10,2,stim,parietal,0.0117514891824,1.18
s9,2,stim,parietal,0.040620181407900004,4.06
s8,2,stim,parietal,-0.0499640186404,-5.0
s5,2,stim,parietal,-0.0174990444292,-1.75
s3,2,stim,parietal,-0.11056526279000001,-11.06
s9,4,stim,parietal,0.307250437048,30.73
s2,2,stim,parietal,0.00879137477466,0.88
s1,2,stim,parietal,-0.035153391354300005,-3.52
s0,2,stim,parietal,0.00964152991767,0.96
s13,1,stim,parietal,-0.0642564530879,-6.43
s12,1,stim,parietal,0.010624696534,1.06
s11,1,stim,parietal,-0.059354144857199996,-5.94
s10,1,stim,parietal,0.029822198264599996,2.98
s9,1,stim,parietal,-0.0127649638126,-1.28
s8,1,stim,parietal,-0.0495315318358,-4.95
s7,1,stim,parietal,-0.0238826223038,-2.39
s6,1,stim,parietal,-0.0373259336173,-3.73
s5,1,stim,parietal,-0.0639066373872,-6.39
s4,1,stim,parietal,-0.08217435804039999,-8.22
s3,1,stim,parietal,-0.0614603544278,-6.15
s2,1,stim,parietal,-0.0420866174374,-4.21
s1,1,stim,parietal,-0.0744017875989,-7.44
s0,1,stim,parietal,-0.0357352139038,-3.57
s13,0,stim,parietal,-0.042466603073699996,-4.25
s12,0,stim,parietal,0.00335775487784,0.34
s11,0,stim,parietal,-0.0446339217791,-4.46
s10,0,stim,parietal,0.0526185471798,5.26
s9,0,stim,parietal,-0.0183692770271,-1.84
s8,0,stim,parietal,-0.0343397320837,-3.43
s7,0,stim,parietal,0.00408135609976,0.41
s6,0,stim,parietal,-0.0233191548807,-2.33
s5,0,stim,parietal,-0.0512277101955,-5.12
s4,0,stim,parietal,-0.048868504750800006,-4.89
s3,0,stim,parietal,-0.00857603635283,-0.86
s2,0,stim,parietal,-0.0344071864202,-3.44
s5,9,stim,parietal,-0.0748428067959,-7.48
s0,13,stim,parietal,-0.05526368072769999,-5.53
s6,16,stim,parietal,-0.039950784210800006,-4.0
s10,4,stim,frontal,0.0300440528842,3.0
s11,4,stim,frontal,0.075957371738,7.6
s3,0,stim,frontal,0.0110564879557,1.11
s4,0,stim,frontal,-0.0175155017738,-1.75
s5,0,stim,frontal,-0.0229773510382,-2.3
s6,0,stim,frontal,-0.00794660736514,-0.79
s7,0,stim,frontal,-0.0208637774128,-2.09
s8,0,stim,frontal,0.01885189399,1.89
s9,0,stim,frontal,0.00288790240614,0.29
s10,0,stim,frontal,0.0743989963727,7.44
s11,0,stim,frontal,-0.028422663656,-2.84
s12,0,stim,frontal,0.038392460917699996,3.84
s13,0,stim,frontal,-0.0382661560354,-3.83
s0,1,stim,frontal,-0.0210536291102,-2.11
s1,1,stim,frontal,-0.0602726368389,-6.03
s2,1,stim,frontal,-0.036432999521,-3.64
s3,1,stim,frontal,-0.0102617412665,-1.03
s1,0,stim,frontal,-0.046048590200199996,-4.6
s5,1,stim,frontal,-0.0271789021177,-2.72
s6,1,stim,frontal,0.00956665177569,0.96
s7,1,stim,frontal,-0.0235255792331,-2.35
s8,1,stim,frontal,-0.00923150443538,-0.92
s9,1,stim,frontal,-0.005616425879319999,-0.56
s10,1,stim,frontal,0.0635584004637,6.36
s11,1,stim,frontal,-0.046234614754900004,-4.62
s12,1,stim,frontal,0.044769577296299996,4.48
s13,1,stim,frontal,-0.0464925630129,-4.65
s0,2,stim,frontal,-0.00903763731098,-0.9
s1,2,stim,frontal,-0.0375198109288,-3.75
s2,2,stim,frontal,-0.0107439374483,-1.07
s3,2,stim,frontal,-0.0573062927735,-5.73
s4,2,stim,frontal,-0.022762958962500003,-2.28
s5,2,stim,frontal,0.003835642103380001,0.38
s6,2,stim,frontal,0.025363154734999997,2.54
s7,2,stim,frontal,0.0017951089365799999,0.18
s8,2,stim,frontal,-0.042531903615499994,-4.25
s9,2,stim,frontal,-0.0144415260014,-1.44
s10,2,stim,frontal,0.0308917221226,3.09
s11,2,stim,frontal,-0.055153658518699994,-5.52
s12,2,stim,frontal,0.0750666129231,7.51
s13,2,stim,frontal,-0.024230703115099998,-2.42
s0,3,stim,frontal,0.026726699906,2.67
s1,3,stim,frontal,0.0575983739279,5.76
s2,3,stim,frontal,0.0574609669929,5.75
s3,3,stim,frontal,-0.07521335597249999,-7.52
s4,3,stim,frontal,0.120453727716,12.05
s5,3,stim,frontal,0.08662940541549999,8.66
s6,3,stim,frontal,0.0611197845412,6.11
s7,3,stim,frontal,0.0640016003297,6.4
s8,3,stim,frontal,-0.047032247436499995,-4.7
s9,3,stim,frontal,0.00206339929542,0.21
s10,3,stim,frontal,0.00959870090631,0.96
s11,3,stim,frontal,-0.0149878467224,-1.5
s12,3,stim,frontal,0.112746171369,11.27
s13,3,stim,frontal,0.0483176784389,4.83
s0,4,stim,frontal,0.0705575292618,7.06
s1,4,stim,frontal,0.202122689315,20.21
s2,4,stim,frontal,0.128158046374,12.82
s3,4,stim,frontal,-0.00183480915545,-0.18
s4,4,stim,frontal,0.324264821523,32.43
s5,4,stim,frontal,0.186011726948,18.6
s6,4,stim,frontal,0.134851244769,13.49
s7,4,stim,frontal,0.133497394423,13.35
s8,4,stim,frontal,-0.012083165600399999,-1.21
s9,4,stim,frontal,0.040636219985800005,4.06
s4,1,stim,frontal,-0.050523020963399994,-5.05
s12,4,stim,frontal,0.12304968245100001,12.3
s9,9,stim,frontal,-0.09656469547869999,-9.66
s13,4,stim,frontal,0.147685336045,14.77
s1,5,stim,frontal,0.31585962119000005,31.59
s2,5,stim,frontal,0.149879208805,14.99
s3,5,stim,frontal,0.147985329126,14.8
s4,5,stim,frontal,0.455574818936,45.56
s5,5,stim,frontal,0.23602540167599997,23.6
s6,5,stim,frontal,0.21348405272999998,21.35
s7,5,stim,frontal,0.17616070682799995,17.62
s8,5,stim,frontal,0.042811448229199994,4.28
s9,5,stim,frontal,0.05895263951550001,5.9
s10,5,stim,frontal,0.0727310324172,7.27
s11,5,stim,frontal,0.160734983232,16.07
s12,5,stim,frontal,0.0910269415202,9.1
s13,5,stim,frontal,0.211232397262,21.12
s0,6,stim,frontal,0.059436141935199985,5.94
s1,6,stim,frontal,0.321334601283,32.13
